                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0649,                  2.558,                 1.3151,                 0.9426,                0.86502,                0.91752,                0.75264,                0.63904,                 2.7247,                 1.0109,                0.00028,                0.00028,                0.00028
                      2,                0.97546,                 1.6012,                  1.189,                0.88951,                0.78947,                0.93885,                0.70228,                 0.8898,                 2.3119,                 1.1869,             0.00056086,             0.00056086,             0.00056086
                      3,                 1.0083,                 1.5229,                  1.209,                      1,                0.73483,                0.96602,                0.71292,                0.86417,                  2.268,                 1.1551,             0.00082192,             0.00082192,             0.00082192
                      4,                 1.0585,                 1.4437,                  1.261,                0.80196,                0.63982,                0.71227,                0.50618,                 1.2477,                 2.3992,                 1.4267,              0.0010632,              0.0010632,              0.0010632
                      5,                 1.0641,                  1.424,                 1.2165,                0.79062,                0.63158,                0.66158,                0.43118,                  1.405,                 2.6365,                 1.5636,              0.0012846,              0.0012846,              0.0012846
                      6,                 1.0866,                 1.4323,                 1.2538,                0.59374,                0.57895,                0.52242,                0.34734,                   1.48,                 2.6773,                 1.5539,              0.0014863,              0.0014863,              0.0014863
                      7,                  1.215,                 1.6846,                 1.3705,                0.90714,                  0.515,                0.63178,                0.38328,                 1.3465,                 2.6098,                 1.5485,               0.001604,               0.001604,               0.001604
                      8,                 1.2113,                  1.668,                 1.3818,                0.68222,                0.67825,                0.66427,                0.40611,                 1.3635,                 2.4306,                 1.6288,               0.001604,               0.001604,               0.001604
                      9,                 1.1331,                  1.564,                 1.2873,                0.66397,                0.78947,                0.74324,                0.40121,                 1.2873,                 2.6145,                 1.4844,               0.001538,               0.001538,               0.001538
                     10,                 1.0574,                 1.3628,                 1.2069,                0.90342,                0.63158,                0.71595,                0.42422,                 1.3723,                 2.7358,                 1.6333,               0.001472,               0.001472,               0.001472
                     11,                 1.1568,                 1.4561,                 1.2991,                 0.6286,                0.68421,                0.61854,                0.39633,                 1.3539,                 1.9863,                 1.6044,               0.001406,               0.001406,               0.001406
                     12,                 1.1888,                 1.3681,                 1.3357,                0.77829,                0.73684,                0.74939,                0.46488,                 1.3792,                 1.8705,                 1.5778,                0.00134,                0.00134,                0.00134
                     13,                 1.1005,                 1.2894,                 1.2356,                      1,                0.46713,                0.64552,                0.44407,                  1.315,                  1.932,                 1.5647,               0.001274,               0.001274,               0.001274
                     14,                 1.0506,                 1.2369,                 1.2374,                0.99953,                0.57895,                0.76085,                0.54015,                 1.1585,                 1.6684,                 1.4314,               0.001208,               0.001208,               0.001208
                     15,                 1.0629,                 1.1989,                 1.2623,                0.83566,                0.63158,                0.77661,                0.50758,                 1.2075,                 1.7345,                 1.4403,               0.001142,               0.001142,               0.001142
                     16,                  1.071,                 1.2111,                 1.2478,                0.85504,                 0.6215,                0.74375,                0.54252,                 1.1896,                 1.6962,                 1.4724,               0.001076,               0.001076,               0.001076
                     17,                 1.0873,                 1.2827,                 1.2853,                0.93078,                0.70863,                 0.8044,                0.59267,                 1.0817,                 1.7699,                 1.3685,                0.00101,                0.00101,                0.00101
                     18,                 1.0394,                 1.2568,                 1.2429,                0.76143,                0.73684,                0.73066,                0.46884,                  1.196,                 1.9606,                  1.497,               0.000944,               0.000944,               0.000944
                     19,                0.94551,                 1.0721,                 1.1421,                0.83007,                0.78947,                0.80454,                0.57172,                 1.0862,                  1.429,                 1.4112,               0.000878,               0.000878,               0.000878
                     20,                0.91947,                0.98471,                 1.1114,                0.93717,                0.78524,                0.82788,                0.57845,                  1.078,                 1.2648,                 1.4555,               0.000812,               0.000812,               0.000812
                     21,                0.87354,                 1.3843,                 1.1885,                0.99506,                0.78947,                0.81872,                0.57832,                 1.1485,                 1.2963,                 1.4913,               0.000746,               0.000746,               0.000746
                     22,                 0.9141,                 1.2669,                 1.1387,                 0.9942,                0.78947,                0.81791,                0.60252,                 1.0598,                 1.2837,                  1.403,                0.00068,                0.00068,                0.00068
                     23,                0.86401,                   1.21,                 1.1267,                0.98626,                0.78947,                0.89833,                0.67841,                0.94415,                 1.3695,                 1.2671,               0.000614,               0.000614,               0.000614
                     24,                0.85704,                 1.2539,                 1.1347,                0.99205,                0.94737,                 0.9863,                0.71919,                0.94305,                 1.0957,                 1.2634,               0.000548,               0.000548,               0.000548
                     25,                0.82084,                 1.1169,                 1.0942,                      1,                0.99749,                  0.995,                0.74188,                0.89877,                 0.9556,                 1.2357,               0.000482,               0.000482,               0.000482
                     26,                0.81562,                 1.0609,                 1.1512,                0.99433,                      1,                  0.995,                0.74233,                  0.895,                0.86757,                 1.2446,               0.000416,               0.000416,               0.000416
                     27,                0.71318,                0.96589,                 1.0164,                0.94777,                      1,                   0.99,                 0.7322,                0.81763,                0.90804,                 1.1188,                0.00035,                0.00035,                0.00035
                     28,                0.70954,                0.97078,                 1.0662,                0.94675,                      1,                   0.99,                 0.7478,                0.76257,                 0.8566,                 1.0944,               0.000284,               0.000284,               0.000284
                     29,                0.74083,                 1.0108,                 1.0578,                 0.9943,                      1,                  0.995,                0.75681,                0.76918,                0.84769,                 1.0986,               0.000218,               0.000218,               0.000218
                     30,                0.68794,                 0.9949,                 1.0482,                0.99425,                      1,                  0.995,                0.75437,                 0.7725,                 0.8326,                 1.0941,               0.000152,               0.000152,               0.000152
